epoch	categorical_accuracy	loss	val_categorical_accuracy	val_loss
0	0.6053541898727417	1.1161140203475952	0.8687499761581421	0.4888603985309601
1	0.7652291655540466	0.6970053911209106	0.9069166779518127	0.3389255106449127
2	0.8148958086967468	0.558933675289154	0.9262499809265137	0.2562541663646698
3	0.8490208387374878	0.4434715509414673	0.9434999823570251	0.1933175027370453
4	0.8695416450500488	0.38548681139945984	0.9491666555404663	0.1778821051120758
5	0.8784375190734863	0.3559598922729492	0.9545833468437195	0.1512841284275055
6	0.8856250047683716	0.3324839174747467	0.9577500224113464	0.1417689174413681
7	0.8899999856948853	0.318430632352829	0.9615833163261414	0.12924061715602875
8	0.8967916369438171	0.30168095231056213	0.9627500176429749	0.12376131862401962
9	0.8993124961853027	0.2890780568122864	0.9653333425521851	0.11986558884382248
